timestamp,datetime,locomotive_id,event_type,location,from_location,to_location,purpose,coupler_type,wagon_count,duration_min
1833.5,2025-12-02T06:33:30+00:00,LOCO_01,MOVING,WS_01,track_19,WS_01,,,0,5.0
1838.5,2025-12-02T06:38:30+00:00,LOCO_01,RAKE_COUPLING_STARTED,WS_01,,,,DAC,2,0.5
1839.0,2025-12-02T06:39:00+00:00,LOCO_01,RAKE_COUPLING_COMPLETED,WS_01,,,,DAC,2,0.5
1839.0,2025-12-02T06:39:00+00:00,LOCO_01,LOCO_COUPLING_STARTED,WS_01,,,,DAC,2,0.5
1839.5,2025-12-02T06:39:30+00:00,LOCO_01,LOCO_COUPLING_COMPLETED,WS_01,,,,DAC,2,0.5
1839.5,2025-12-02T06:39:30+00:00,LOCO_01,SHUNTING_PREP,WS_01,,,,,2,1.0
1840.5,2025-12-02T06:40:30+00:00,LOCO_01,MOVING,retrofitted,WS_01,retrofitted,,,0,5.0
1845.5,2025-12-02T06:45:30+00:00,LOCO_01,MOVING,track_19,retrofitted,track_19,,,0,5.0
1850.5,2025-12-02T06:50:30+00:00,LOCO_01,ALLOCATED,,,,batch_transport,,0,0.0
1850.5,2025-12-02T06:50:30+00:00,LOCO_01,MOVING,retrofitted,track_19,retrofitted,,,0,5.0
1855.5,2025-12-02T06:55:30+00:00,LOCO_01,RAKE_COUPLING_STARTED,retrofitted,,,,DAC,4,1.5
1857.0,2025-12-02T06:57:00+00:00,LOCO_01,RAKE_COUPLING_COMPLETED,retrofitted,,,,DAC,4,1.5
1857.0,2025-12-02T06:57:00+00:00,LOCO_01,LOCO_COUPLING_STARTED,retrofitted,,,,DAC,4,0.5
1857.5,2025-12-02T06:57:30+00:00,LOCO_01,LOCO_COUPLING_COMPLETED,retrofitted,,,,DAC,4,0.5
1857.5,2025-12-02T06:57:30+00:00,LOCO_01,SHUNTING_PREP,retrofitted,,,,,4,1.0
1858.5,2025-12-02T06:58:30+00:00,LOCO_01,MOVING,parking16,retrofitted,parking16,,,0,120.0
1978.5,2025-12-02T08:58:30+00:00,LOCO_01,LOCO_DECOUPLING_STARTED,parking16,,,,DAC,4,0.5
1979.0,2025-12-02T08:59:00+00:00,LOCO_01,LOCO_DECOUPLING_COMPLETED,parking16,,,,DAC,4,0.5
1979.0,2025-12-02T08:59:00+00:00,LOCO_01,RAKE_DECOUPLING_STARTED,parking16,,,,DAC,4,1.5
1980.5,2025-12-02T09:00:30+00:00,LOCO_01,RAKE_DECOUPLING_COMPLETED,parking16,,,,DAC,4,1.5
1982.0,2025-12-02T09:02:00+00:00,LOCO_01,MOVING,track_19,parking16,track_19,,,0,60.0
2042.0,2025-12-02T10:02:00+00:00,LOCO_01,MOVING,WS_02,track_19,WS_02,,,0,5.0
2047.0,2025-12-02T10:07:00+00:00,LOCO_01,RAKE_COUPLING_STARTED,WS_02,,,,DAC,2,0.5
2047.5,2025-12-02T10:07:30+00:00,LOCO_01,RAKE_COUPLING_COMPLETED,WS_02,,,,DAC,2,0.5
2047.5,2025-12-02T10:07:30+00:00,LOCO_01,LOCO_COUPLING_STARTED,WS_02,,,,DAC,2,0.5
2048.0,2025-12-02T10:08:00+00:00,LOCO_01,LOCO_COUPLING_COMPLETED,WS_02,,,,DAC,2,0.5
2048.0,2025-12-02T10:08:00+00:00,LOCO_01,SHUNTING_PREP,WS_02,,,,,2,1.0
2049.0,2025-12-02T10:09:00+00:00,LOCO_01,MOVING,retrofitted,WS_02,retrofitted,,,0,5.0
2054.0,2025-12-02T10:14:00+00:00,LOCO_01,MOVING,track_19,retrofitted,track_19,,,0,5.0
2059.0,2025-12-02T10:19:00+00:00,LOCO_01,MOVING,collection1,track_19,collection1,,,0,60.0
2119.0,2025-12-02T11:19:00+00:00,LOCO_01,ALLOCATED,,,,batch_transport,,0,0.0
2119.0,2025-12-02T11:19:00+00:00,LOCO_01,LOCO_COUPLING_STARTED,collection1,,,,SCREW,1,2.0
2121.0,2025-12-02T11:21:00+00:00,LOCO_01,LOCO_COUPLING_COMPLETED,collection1,,,,SCREW,1,2.0
2121.0,2025-12-02T11:21:00+00:00,LOCO_01,SHUNTING_PREP,collection1,,,,,1,1.0
2122.0,2025-12-02T11:22:00+00:00,LOCO_01,MOVING,retrofit,collection1,retrofit,,,0,60.0
2182.0,2025-12-02T12:22:00+00:00,LOCO_01,LOCO_DECOUPLING_STARTED,retrofit,,,,SCREW,1,3.0
2185.0,2025-12-02T12:25:00+00:00,LOCO_01,MOVING,track_19,retrofit,track_19,,,0,0.0
2185.0,2025-12-02T12:25:00+00:00,LOCO_01,LOCO_DECOUPLING_COMPLETED,retrofit,,,,SCREW,1,3.0
2190.0,2025-12-02T12:30:00+00:00,LOCO_01,PARKING,,,,,,0,2.0
2192.0,2025-12-02T12:32:00+00:00,LOCO_01,MOVING,retrofit,track_19,retrofit,,,0,5.0
2197.0,2025-12-02T12:37:00+00:00,LOCO_01,COUPLING_STARTED,retrofit,,,,SCREW,0,2.0
2199.0,2025-12-02T12:39:00+00:00,LOCO_01,COUPLING_COMPLETED,retrofit,,,,SCREW,0,2.0
2199.0,2025-12-02T12:39:00+00:00,LOCO_01,SHUNTING_PREP,retrofit,,,,,0,1.0
2200.0,2025-12-02T12:40:00+00:00,LOCO_01,MOVING,WS_01,retrofit,WS_01,,,0,5.0
2205.0,2025-12-02T12:45:00+00:00,LOCO_01,DECOUPLING_STARTED,WS_01,,,,SCREW,0,3.0
2208.0,2025-12-02T12:48:00+00:00,LOCO_01,DECOUPLING_COMPLETED,WS_01,,,,SCREW,0,3.0
2211.0,2025-12-02T12:51:00+00:00,LOCO_01,MOVING,track_19,WS_01,track_19,,,0,5.0
2216.0,2025-12-02T12:56:00+00:00,LOCO_01,ALLOCATED,,,,batch_transport,,0,0.0
2216.0,2025-12-02T12:56:00+00:00,LOCO_01,MOVING,retrofitted,track_19,retrofitted,,,0,5.0
